Epic,Title,Description,Type,Points,Owner,Due,Priority,Labels
Gift Cards,Gift cards: DB + ledger,"Create gift_card and gift_card_ledger tables with optimistic locking, idempotency index, audit fields; add RLS/tenant scoping.",Story,3,Riley,2025-12-24,High,"gift-cards,backend,db"
Gift Cards,Gift cards: APIs,"Implement issue/reload/redeem/void/refund-to-credit/balance-lookup with idempotency and rate limits; enforce taxable-load flag.",Story,5,Riley,2025-12-24,High,"gift-cards,api,backend"
Gift Cards,Gift cards: Comms,"Templates + dispatch hooks for issue/redeem/low-balance/void/expire/refund-to-credit; retries idempotent.",Task,2,Sam,2025-12-24,Medium,"gift-cards,comms"
Gift Cards,Gift cards: Concurrency QA,"Tests for double-redeem race, expiry, taxable-load flag, lookup rate limit, idempotent retries.",Task,3,Morgan,2026-01-03,High,"gift-cards,qa"
Gift Cards,Observability: Redeem,"Traces + alert on redeem failure spike; synthetic redeem check.",Task,2,Casey,2025-12-24,High,"gift-cards,observability"
POS,POS: Terminal + offline,"Terminal session entity; offline batch/seq ingest with dedupe; alert on backlog.",Story,5,Riley,2025-12-24,High,"pos,offline,backend"
POS,POS: Orders + split tender,"POS order/line/tender models + API; validate tender sum; support card/gift card/cash/charge-to-site/store credit.",Story,5,Riley,2025-12-24,High,"pos,api,backend"
POS,POS: Charge-to-site folio,"Post charge-to-site to folio with audit; guest notice; handle tenant mismatch errors.",Task,4,Riley,2025-12-24,High,"pos,folio"
POS,POS: Returns/exchanges,"Return/exchange API; inventory adjust; refund to original or store credit; receipts.",Story,5,Riley,2026-01-03,High,"pos,returns,backend"
POS,POS: QA core,"Tender mismatch, offline duplicate seq, charge-to-site, partial returns, gift card tender flow.",Task,3,Morgan,2026-01-03,High,"pos,qa"
POS,POS: Receipts,"Print/email receipts; charge-to-site guest notification.",Task,3,Sam,2025-12-24,Medium,"pos,comms"
Waitlist,Waitlist: Models,"Waitlist entry with throttle; inventory hold model.",Story,3,Riley,2025-12-24,High,"waitlist,backend"
Waitlist,Waitlist: Offers lifecycle,"Offer create/accept/decline/expire endpoints; idempotent; hold required; audit.",Story,4,Riley,2025-12-24,High,"waitlist,api,backend"
Waitlist,Waitlist: Jobs,"Matcher on availability; reminder/expiry job; staff alert when pool exhausted.",Story,5,Riley,2026-01-03,High,"waitlist,jobs"
Waitlist,Waitlist: Comms,"Templates for offer/reminder/accepted/expired/declined; CTA link.",Task,2,Sam,2025-12-24,Medium,"waitlist,comms"
Waitlist,Waitlist: QA,"Throttle, double accept blocked, expiry releases hold, missing hold error.",Task,3,Morgan,2026-01-03,High,"waitlist,qa"
Reporting,Reporting: ETL,"Facts/dims for bookings/folios/POS/gift card movements; liability snapshot job.",Story,5,Riley,2026-01-03,High,"reporting,etl,backend"
Reporting,Reporting: Metrics + exports,"ADR/RevPAR/revenue/channel mix/gift card liability; saved reports; CSV export; scheduled email; capacity guard (503).",Story,5,Riley,2026-01-03,High,"reporting,api,backend"
Reporting,Reporting: QA,"UI vs CSV totals; schedule SLA; metric definitions consistency; capacity guard.",Task,3,Morgan,2026-01-03,High,"reporting,qa"
Foundations,Foundations: Idempotency,"Shared idempotency middleware (per-tenant) with TTL store.",Task,3,Casey,2025-12-24,High,"foundations,idempotency"
Foundations,Foundations: Security,"Tenant scoping/RLS; audit helper; PII/PAN redaction validation; rate limits on sensitive endpoints.",Task,4,Casey,2025-12-24,High,"foundations,security"
Foundations,Observability: Cross-cutting,"Alerts for redeem failure spike, offline backlog, offer lag, report failures; synthetic checks for redeem/POS/offer/export.",Task,3,Casey,2025-12-24,High,"observability,alerts"
